doi,title,year,authors,journal,species,elements,discovery_source,target_plausibility,plausibility_reason,candidate_confidence,temporal_status,overlap_status,eligibility_status,manual_verification_required,notes
10.1007/s00128-015-1669-3,Ricinus communis L. A Value Added Crop for Remediation of Cadmium Contaminated Soil,2015,Unconfirmed,Bulletin of Environmental Contamination and Toxicology,Castor bean,Cd,web search: castor bean Ricinus communis heavy metal phytoremediation bioconcentration factor 2023 2024 2025 field,confirmed_overlap,Exact DOI match in primary dataset; also one of the 15 locked cross-domain-study DOIs,n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Documented for auditability only.
10.1007/s11356-017-9654-5,Ricinus communis L. (castor bean) as a potential candidate for revegetating industrial waste contaminated sites in peri-urban Greater Hyderabad: remarks on seed oil,2017,"Boda, Prasad, Suthari",Environmental Science and Pollution Research,Castor bean,"Cd, Pb, Fe, Mn, Zn",web search: castor bean Ricinus communis mining tailings field naturally contaminated soil bioconcentration,confirmed_overlap,"Exact DOI match in primary dataset, found on direct check despite being a strong-looking naturally-occurring-population candidate",n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Good illustration of why pre-2023 'naturally contaminated site' studies have a high prior probability of already being in Ha et al.'s 238-study corpus; documented for auditability.
10.1007/s12011-011-9164-0,Assessing the Tolerance of Castor Bean to Cd and Pb for Phytoremediation Purposes,2011,Unconfirmed,Biological Trace Element Research,Castor bean,"Cd, Pb",web search: castor bean OR hemp selenium OR thallium OR barium soil uptake bioconcentration phytoremediation,implausible_excluded,"Hoagland/Arnon nutrient-solution medium, not soil -- hydroponic exposure, not comparable to soil-based TARGET BCF",low,pre-2023,unconfirmed - doi not independently verified,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
unconfirmed_verify_from_pmc6918418,"Citric Acid Enhances Plant Growth, Photosynthesis, and Phytoextraction of Lead by Alleviating the Oxidative Stress in Castor Beans",unconfirmed,Unconfirmed,Unconfirmed,Castor bean,Pb,web search: castor bean OR hemp selenium OR thallium OR barium soil uptake bioconcentration phytoremediation,implausible_excluded,"Citric-acid chelate-assisted phytoextraction is a chemical treatment manipulation that changes the exposure system, not comparable to unamended TARGET conditions",low,unconfirmed,unconfirmed - doi not located,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
10.1007/s11356-017-0326-2,Phytoremediation potential of moso bamboo (Phyllostachys pubescens) intercropped with Sedum plumbizincicola in metal-contaminated soil,2017,Unconfirmed,Environmental Science and Pollution Research,Bamboo,"Cu, Zn, Cd",web search: bamboo Phyllostachys heavy metal bioconcentration factor field soil independent study Cd Pb Zn,confirmed_overlap,Exact DOI match in primary dataset,n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Documented for auditability only.
10.1007/s11368-022-03303-y,Bamboo-based agroforestry changes phytoremediation efficiency by affecting soil properties in rhizosphere and non-rhizosphere in heavy metal-polluted soil (Cd/Zn/Cu),2022,Unconfirmed,Journal of Soils and Sediments,Bamboo,"Cd, Zn, Cu",web search: bamboo Phyllostachys heavy metal bioconcentration factor field soil independent study Cd Pb Zn,confirmed_overlap,Exact DOI match in primary dataset,n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Documented for auditability only.
unconfirmed_verify_pubmed_28949764,Comparison of heavy metal phytoremediation in monoculture and intercropping systems of Phyllostachys praecox and Sedum plumbizincicola in polluted soil,2018,Unconfirmed (PMID 28949764),Unconfirmed,Bamboo,"Cu, Zn, Cd",web search: bamboo Phyllostachys heavy metal bioconcentration factor field soil independent study Cd Pb Zn,plausible_but_verify_independence_from_confirmed_overlap_rows,"Field plantation, 4 years, explicit BCF/TF reported; has a monoculture-bamboo-only arm (MP) that is directly TARGET-comparable, but same research lineage (Bian et al./Sedum-intercropping line) as the two confirmed-overlap bamboo rows above",medium,pre-2023 (temporal constraint bypassed per instruction for bamboo),doi_unconfirmed_pending_verification - elevated overlap risk given shared research group/topic with confirmed-overlap rows above,requires_manual_verification,yes,Independence must be checked beyond DOI: same authors/field site as the two confirmed-overlap studies would make this non-independent even without a DOI match.
unconfirmed_verify_sciencedirect_praecox_cultivation,Effect of cultivation time on soil heavy metal accumulation and bioavailability in Phyllostachys praecox stands,2020,Unconfirmed,Journal not fully confirmed - ScienceDirect/Pedosphere-adjacent listing,Bamboo,"Cu, Zn, Pb, Ni, Cr, Cd, As, Hg",web search: bamboo Phyllostachys heavy metal bioconcentration factor field soil independent study Cd Pb Zn,plausible_pending_verification,"Field-cultivated soil chronosequence (0-10 years), not deliberately spiked; widest element coverage of any bamboo candidate (8 elements)",medium,pre-2023 (temporal constraint bypassed per instruction for bamboo),doi_unconfirmed_pending_verification,requires_manual_verification,yes,"Abstract emphasizes soil accumulation/bioavailability; must confirm plant-tissue BCF (or numerator/denominator) is actually reported, not only soil-side data."
unconfirmed_verify_pmc6221446,Phytoremediation Using Bamboo to Reduce the Risk of Chromium Exposure from a Contaminated Tannery Site in Kenya,unconfirmed - verify,Unconfirmed,Unconfirmed (PMC6221446),Bamboo,Cr,web search: bamboo Phyllostachys naturally contaminated mining site field independent bioconcentration,plausible,"Real contaminated tannery field site in Kenya (not spiked, not pot); explicit BCF/BAF and TF reported per species (D. asper, B. vulgaris, D. membranaceus, B. blumeana, B. bambos, D. birmanicus)",high,unconfirmed - verify publication year,"unconfirmed - doi not located, low prior overlap risk given African tannery site vs the primarily Chinese Phyllostachys literature used elsewhere in the primary dataset",requires_manual_verification,yes,"Genus differs from Phyllostachys (Dendrocalamus, Bambusa) -- confirm this still falls within the primary dataset's 'Bamboo' species grouping before treating as directly comparable; check the primary dataset's exact bamboo taxonomic scope."
10.1007/s42729-023-01275-7,Tolerance and Enrichment Characteristics of Moso Bamboo to Complex Heavy Metal-Contaminated Soil,2023,"Cai, Zhang, Luo",Journal of Soil Science and Plant Nutrition,Bamboo,not specified in excerpt (complex/multi-metal per title),web search: bamboo Phyllostachys naturally contaminated mining site field independent bioconcentration,plausible,"Real tailings-area contaminated soil (naturally contaminated mining tailings), not spiked; DOI confirmed independent of primary dataset by direct check",high,"post-2023 (need exact month confirmed; DOI-based year is 2023, verify against March cutoff)",no_exact_doi_match_in_primary_dataset (confirmed by direct check),requires_manual_verification,yes,Strongest bamboo candidate found this pass. Confirm exact publication month against the March 2023 cutoff before classifying as temporal validation vs. merely independent validation.
unconfirmed_verify_sciencedirect_moso_cr_mediterranean,Phytoextraction by Moso Bamboo under high level chromium stress in mediterranean conditions,ambiguous - unconfirmed,Unconfirmed,Unconfirmed,Bamboo,Cr,web search: bamboo Phyllostachys heavy metal accumulation soil bioconcentration 2024 2025 (earlier pass),implausible_excluded,"Abstract describes a deliberately dosed exposure ('Cr content in soil of approximately 300 mg/kg' achieved via treatment, 12-week pot cultivation) -- reads as an artificially dosed pot experiment, not naturally aged contamination",low,ambiguous,unconfirmed - doi not located,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer unless full-text review overturns this reading.
10.1038/srep13554,"Copper induced oxidative stresses, antioxidant responses and phytoremediation potential of Moso bamboo (Phyllostachys pubescens)",2015,"Chen, Shafi, Li, Wang, Wu, Ye, Peng, Yan, Liu",Scientific Reports,Bamboo,Cu,web search: bamboo Phyllostachys naturally contaminated mining site field independent bioconcentration,confirmed_overlap,"Exact DOI match in primary dataset (confirmed on cross-check); ALSO independently excludable on design grounds since the abstract states 'hydroponics and pot experiments' (artificial dosing, not naturally contaminated field soil)",n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,"Two independent reasons for exclusion (confirmed overlap AND hydroponic/pot design); documented for auditability. This row was initially misclassified as design-excluded only, before the DOI cross-check caught the overlap -- left in as a demonstration that the automated check matters even when a study looks excludable for other reasons."
unconfirmed_verify_sciencedirect_bamboo_review_2025,Research on the role of bamboo species in the restoration of heavy metal-contaminated soil,2025,Unconfirmed,Unconfirmed - ScienceDirect listing,Bamboo,review scope,web search: bamboo Phyllostachys naturally contaminated mining site field independent bioconcentration,review_not_primary,"Review article synthesizing prior primary studies (cites Peng et al. 2015, Cai et al. 2021, etc.)",n/a,post-2023,not_applicable_review_article,ineligible_as_primary_source,no,Bibliography lead only; never extract numeric values.
10.3390/agriculture16131469,"Bioaccumulation and Translocation of Heavy Metals in the Chernozem-Sunflower System: A Study of Agricultural Lands in Kostanay, Kazakhstan",2026,Unconfirmed - verify,Agriculture (MDPI),Sunflower,"Cd, Co, Cr, Cu, Ni, Pb, Zn, As",web search: sunflower Helianthus annuus field naturally contaminated mining site soil heavy metal uptake bioconcentration,plausible,"Real agricultural field soil (chernozem) near a mining facility, full soil pedon sampling (0-150cm), 8 elements + 5 macroelements measured directly in field-grown plants -- explicitly NOT a pot/spiked design",high,post-2023,no_exact_doi_match_in_primary_dataset (confirmed by direct check),requires_manual_verification,yes,Best element-diversity candidate found in this entire search effort. DOI confirmed via explicit doi.org link and independently verified absent from the primary dataset.
unconfirmed_verify_dergipark_kastamonu,"Phytoextraction of Heavy Metal (Cu, Zn, Pb) from Mining Area by Sunflower (Helianthus annuus)","2023 (per journal page context, unconfirmed exact date)",Unconfirmed,Kastamonu University Journal of Forestry Faculty,Sunflower,"Cu, Zn, Pb",web search: sunflower Helianthus annuus field naturally contaminated mining site soil heavy metal uptake bioconcentration,borderline_requires_careful_verification,"Uses REAL mining-waste-contaminated soil (genuine contamination source, not synthetically spiked with metal salts) but conducted as a greenhouse dilution experiment (0%/50%/100% contaminated:clean soil mixing), which is itself a controlled manipulation somewhat analogous to how the primary dataset treats amended soil",medium,unconfirmed - verify,"unconfirmed - doi not located, check directly",requires_manual_verification,yes,Borderline case: contamination source is genuine (real mine waste) but exposure regime (dilution greenhouse pots) is manipulated. Only the 100% contaminated-soil treatment arm (no dilution) would be closest to an undiluted TARGET-comparable condition; the 0%/50% arms should not be treated as TARGET-comparable.
10.1016/j.stress.2023.100297,Phytoremediation of heavy metals from industrially contaminated soil using sunflower (Helianthus annuus L.) by inoculation of two indigenous bacteria,2024,"Waseem, Khilji, Tariq, Jamal, Alomrani, Javed",Plant Stress,Sunflower,not specified in excerpt - verify,web search: Waseem 2024 sunflower Helianthus annuus rhizofiltration heavy metal,implausible_excluded,Pot experiment with soil AMENDED with compost (2%) plus bacterial inoculation treatments -- both an amendment and a bacterial treatment manipulation,high_bibliographic_confidence_low_target_plausibility,"post-2023 (Pub Date March 2024, confirmed via ADS record)",no_exact_doi_match_in_primary_dataset,ineligible_pending_confirmation,no (excluded on design grounds; revisit only if an unamended/uninoculated control arm is confirmed usable),DOI and date confirmed. Kept for auditability; do not count toward the plausible buffer unless a plain control arm is verified usable.
unconfirmed_verify_sciencedirect_sunflower_bacteria_duplicate,Phytoremediation of heavy metals from industrially contaminated soil using sunflower (Helianthus annus L.) by inoculation of two indigenous bacteria,ambiguous - possibly same study as row above,Unconfirmed,Unconfirmed - ScienceDirect listing (PII S2667064X23001641),Sunflower,not specified,web search: Waseem 2024 sunflower Helianthus annuus rhizofiltration heavy metal,requires_disambiguation,Near-identical title to the Waseem et al. 2024 Plant Stress row above and explicitly cites 'Waseem et al. 2024' as prior work -- likely the same study indexed twice (preprint/PII listing vs. final publication) rather than an independent second study,low,ambiguous,requires_disambiguation_against_waseem_2024_row_before_counting_as_independent,ineligible_pending_confirmation,no,Do not count as a second independent study until confirmed distinct from the Waseem et al. 2024 row. Also excluded on the same amended/bacterial-treatment design grounds regardless.
unconfirmed_verify_mdpi_2076_3298,Phytoremediation of Nickel-Contamination Using Helianthus annuus L. in Mediterranean Conditions,2025,Unconfirmed,"Journal not fully confirmed - MDPI, ISSN 2076-3298",Sunflower,Ni,web search: Helianthus annuus nickel phytoremediation Mediterranean conditions bioconcentration,implausible_excluded,"Abstract explicitly describes 'a short-term contamination event with nickel-enriched irrigation' under simulated/laboratory conditions -- artificially dosed short-term exposure, not naturally aged field contamination, despite the 'Mediterranean conditions' framing",medium_bibliographic_confidence_low_target_plausibility,post-2023 (page dated Dec 2025),no_exact_doi_match_in_primary_dataset (doi not independently confirmed),ineligible_pending_confirmation,no,Kept for auditability. This was previously logged as an 'open candidate'; on this stricter pass it is reclassified as excluded given the explicit short-term/artificial exposure description.
10.1007/s11356-020-09233-x,Phytoremediation efficiency of Helianthus annuus L. for reclamation of heavy metals-contaminated industrial soil,2020,Unconfirmed,Environmental Science and Pollution Research,Sunflower,not specified in excerpt,web search: Helianthus annuus nickel phytoremediation Mediterranean conditions bioconcentration,confirmed_overlap,Exact DOI match in primary dataset,n/a,pre-2023,CONFIRMED_EXACT_DOI_MATCH_IN_PRIMARY_DATASET,ineligible,no,Documented for auditability only.
unconfirmed_verify_researchgate_312925633,Phytoremediation Potential of Helianthus annuus and Hydrangea paniculata in Copper and Lead-Contaminated Soil,ambiguous - unconfirmed,Unconfirmed,Unconfirmed,Sunflower,"Cu, Pb",web search: Helianthus annuus nickel phytoremediation Mediterranean conditions bioconcentration,requires_disambiguation,"The search snippet text for this listing was IDENTICAL to the Mediterranean nickel study's reported BCF range (1.32-2.55), which strongly suggests the search engine attached the wrong abstract excerpt to this title (a 'related articles' content-mixing artifact) rather than this study's own actual abstract",low,ambiguous,unconfirmed - discovery data itself is unreliable for this row,ineligible_pending_confirmation,no,Do not trust the elements/BCF-range information associated with this row; the underlying search content appears conflated with a different study. Re-search independently before using.
unconfirmed_verify_researchgate_317348369,POTENTIAL OF SUNFLOWER (HELIANTHUS ANNUUS L.) FOR PHYTOREMEDIATION OF SOILS CONTAMINATED WITH HEAVY METALS,ambiguous - unconfirmed,Unconfirmed,Unconfirmed,Sunflower,"Zn, Cd, Cu, Ni, Pb",web search: Helianthus annuus nickel phytoremediation Mediterranean conditions bioconcentration,implausible_excluded,Vermicompost-amended growth medium (amendment manipulation) in what appears to be a greenhouse pot study,low,ambiguous,unconfirmed - doi not located,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
unconfirmed_verify_pmc12161140,Synergistic application of Bacillus subtilis IAGS174 and thiamine to mitigate salinity and lead stress in Helianthus annuus,ambiguous - likely 2025/2026 based on PMC ID,Unconfirmed,Unconfirmed,Sunflower,Pb,web search: Waseem 2024 sunflower Helianthus annuus rhizofiltration heavy metal,implausible_excluded,"Bacterial/biostimulant treatment study under combined salinity+Pb stress; contamination source reads as an experimentally imposed stress treatment, and the treatment itself (Bacillus + thiamine) is a manipulation not comparable to unamended TARGET conditions",low,ambiguous,unconfirmed - doi not located,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
unconfirmed_verify_pmc5402931,Metal accumulation by sunflower (Helianthus annuus L.) and the efficacy of its biomass in enzymatic saccharification,"2017 (PLOS ONE, per journal metadata)",Unconfirmed,PLOS ONE,Sunflower,"Zn, Ni (per excerpt)",web search: sunflower Helianthus annuus field naturally contaminated mining site soil heavy metal uptake bioconcentration,implausible_excluded,"Sunflowers cultivated in PVC pots with soil experimentally dosed across a 10-2,000 mg/kg gradient -- artificially dosed pot experiment, not naturally aged field contamination",medium_bibliographic_confidence_low_target_plausibility,pre-2023,"unconfirmed - doi not located (PLOS ONE, likely 10.1371/journal.pone.0175845 per URL, unconfirmed)",ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
unconfirmed_verify_ncbi_pmc7509064,Glutamic Acid-Assisted Phytomanagement of Chromium Contaminated Soil by Sunflower (Helianthus annuus L.): Morphophysiological and Biochemical Alterations,unconfirmed,Unconfirmed,Unconfirmed,Sunflower,Cr,web search: sunflower Helianthus annuus field naturally contaminated mining site soil heavy metal uptake bioconcentration,implausible_excluded,Abstract explicitly states 'agricultural soil spiked with increasing concentrations of Cr' plus glutamic acid chelate treatment -- both a spike and a chemical treatment manipulation,n/a,unconfirmed,unconfirmed - doi not located,ineligible_pending_confirmation,no,Kept for auditability; do not count toward the plausible buffer.
