study_id,source_reference,extraction_type,original_value,calculation_performed,units,verification_status,reviewer_notes
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.512102,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.251515,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.122727,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.077273,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
slovenia_hemp_field_2023,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,0.164706,ratio derived from reported concentrations,dimensionless,verified_primary_source_derived,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,1.009,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,1.48,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.013,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.062,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.268,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.199,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.739,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,1.059,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.222,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.199,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.052,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,0.074,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,1.462,none,dimensionless,verified,Primary table/text value
kazakhstan_sunflower_2026,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,1.229,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,8.3,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,5.3,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,17.5,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,11.6,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,14.1,none,dimensionless,verified,Primary table/text value
thurston_tarcreek_hemp_biochar_2024,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,25.2,none,dimensionless,verified,Primary table/text value
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,7.2,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,7.0,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,10.1,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,11.3,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,15.2,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,15.2,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,48.7,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,18.3,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,21.9,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,14.7,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,37.4,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,23.5,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,16.2,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,13.7,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,14.7,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,11.1,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,18.3,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
hemp_fiber_phytoattenuation_textile,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",primary_figure_digitized,21.4,none,dimensionless,verified_primary_figure_digitized,Approximate bar-height digitization; chart-resolution uncertainty
