doi,year,study_id,species,element,plant_component,BCF_value,BCF_definition,BCF_numerator,BCF_denominator,BCF_units,soil_pH,soil_organic_matter,soil_texture,soil_concentration,exposure_regime,contamination_history,duration_days,sample_size,data_source_type,data_source_location,source_reference,directly_reported_or_digitized,digitization_method,eligibility_status,exclusion_reason,verification_status,verified_by_user
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Zn,Tisza inflorescences,0.512102,plant concentration / site soil concentration,80.4 mg/kg dry-weight plant tissue,157 mg/kg soil,dimensionless,,,,SP: 157 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Cd,Futura 75 inflorescences,0.251515,plant concentration / site soil concentration,1.66 mg/kg dry-weight plant tissue,6.6 mg/kg soil,dimensionless,,,,HP: 6.6 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Cd,Futura 75 seeds,0.122727,plant concentration / site soil concentration,0.81 mg/kg dry-weight plant tissue,6.6 mg/kg soil,dimensionless,,,,HP: 6.6 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Cd,Futura 75 stem bark,0.077273,plant concentration / site soil concentration,0.51 mg/kg dry-weight plant tissue,6.6 mg/kg soil,dimensionless,,,,HP: 6.6 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.1007/s11356-023-30474-z,2023,slovenia_hemp_field_2023,Cannabis sativa L.,Cd,Tisza inflorescences,0.164706,plant concentration / site soil concentration,0.28 mg/kg dry-weight plant tissue,1.7 mg/kg soil,dimensionless,,,,MP: 1.7 mg/kg soil,field agricultural plot,naturally contaminated zinc-ore-smelting agricultural soil,153,n=3 plant samples; one composite soil sample per site,directly_reported,PDF results and Table 1; exact pages in verification log,"Flajšman et al. 2023, doi:10.1007/s11356-023-30474-z",directly_reported,,INCLUDED,,verified_primary_source_derived,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cd,root,1.009,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,0.22 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cd,"shoot, biomass-weighted aboveground",1.48,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,0.22 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Co,root,0.013,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,34.5 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Co,"shoot, biomass-weighted aboveground",0.062,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,34.5 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cr,root,0.268,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,37.22 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cr,"shoot, biomass-weighted aboveground",0.199,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,37.22 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cu,root,0.739,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,14.32 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Cu,"shoot, biomass-weighted aboveground",1.059,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,14.32 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Ni,root,0.222,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,27.03 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Ni,"shoot, biomass-weighted aboveground",0.199,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,27.03 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Pb,root,0.052,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,12.02 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Pb,"shoot, biomass-weighted aboveground",0.074,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,12.02 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Zn,root,1.462,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,33.41 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/agriculture16131469,2026,kazakhstan_sunflower_2026,Helianthus annuus L.,Zn,"shoot, biomass-weighted aboveground",1.229,Croot/Csoil or biomass-weighted shoot/Csoil; pseudo-total soil,root or weighted aboveground concentration,"depth-weighted pseudo-total soil, Ap1+Ap2, 0-26 cm",dimensionless,,,,33.41 mg/kg pseudo-total soil,field agricultural site,natural/geogenic field-derived Chernozem; no spike or amendment,,n=3 biological replicates; six plants total,directly_reported,Table 7 p.17; definition Eq.2 p.7; soil Table 8 p.21,"Nugmanov et al. 2026, doi:10.3390/agriculture16131469",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,8.3,aboveground Cd / initial mean water-soluble soil Cd,1.7 mg/kg aboveground Cd,0.2 mg/kg water-soluble soil Cd,dimensionless,,,,0.2 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,5.3,aboveground Cd / initial mean water-soluble soil Cd,1.1 mg/kg aboveground Cd,0.2 mg/kg water-soluble soil Cd,dimensionless,,,,0.2 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,17.5,aboveground Cd / initial mean water-soluble soil Cd,22.8 mg/kg aboveground Cd,1.3 mg/kg water-soluble soil Cd,dimensionless,,,,1.3 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,11.6,aboveground Cd / initial mean water-soluble soil Cd,15.0 mg/kg aboveground Cd,1.3 mg/kg water-soluble soil Cd,dimensionless,,,,1.3 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,14.1,aboveground Cd / initial mean water-soluble soil Cd,15.5 mg/kg aboveground Cd,1.1 mg/kg water-soluble soil Cd,dimensionless,,,,1.1 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.3390/soilsystems8040114,2024,thurston_tarcreek_hemp_biochar_2024,Cannabis sativa L.,Cd,aboveground tissue,25.2,aboveground Cd / initial mean water-soluble soil Cd,27.8 mg/kg aboveground Cd,1.1 mg/kg water-soluble soil Cd,dimensionless,,,,1.1 mg/kg water-soluble Cd,greenhouse pot; 0% biochar subset,naturally contaminated Tar Creek Superfund soil/chat-pile sediment,90,4 nominal design replicates,directly_reported,Table 5 p.12; denominator Table 1 p.5,"Thurston et al. 2024, doi:10.3390/soilsystems8040114",directly_reported,,INCLUDED,,verified,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (USO 31),7.2,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (Bialobrzeskie),7.0,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (Futura 75),10.1,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (Dacia Secuieni),11.3,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (Santhica 70),15.2,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Cd,total aboveground biomass (Carmagnola Selected),15.2,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.087 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Pb,total aboveground biomass (USO 31),48.7,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.34 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Pb,total aboveground biomass (Bialobrzeskie),18.3,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.34 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
10.1016/j.indcrop.2022.114592,2022,hemp_fiber_phytoattenuation_textile,Cannabis sativa L.,Pb,total aboveground biomass (Futura 75),21.9,BCF = Cx/Csoil; total aboveground biomass / extractable soil,weighted total aboveground concentration,extractable/phytoavailable soil concentration,dimensionless,,,,.34 mg/kg extractable soil,greenhouse pot with field-derived soil,legacy contaminated soil near former Metaleurop Nord smelter; no spike,70,10 replicate pots per cultivar,primary_figure_digitized,Figure 2 p.6; bar-height digitization,"De Vos et al. 2022, doi:10.1016/j.indcrop.2022.114592",digitized,Approximate bar-height digitization; chart-resolution uncertainty,INCLUDED,,verified_primary_figure_digitized,no
